E, [2018-04-02T18:23:54.699071 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:82:in `block in <class:Ec2>'
E, [2018-04-02T18:23:54.699278 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/lazy_hash.rb:143:in `proc_or_val'
E, [2018-04-02T18:23:54.699421 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/lazy_hash.rb:76:in `[]'
E, [2018-04-02T18:23:54.699548 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:326:in `image'
E, [2018-04-02T18:23:54.699757 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:354:in `actual_platform'
E, [2018-04-02T18:23:54.699903 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:384:in `update_username'
E, [2018-04-02T18:23:54.700038 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:204:in `create'
E, [2018-04-02T18:23:54.700166 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `public_send'
E, [2018-04-02T18:23:54.700354 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `block in perform_action'
E, [2018-04-02T18:23:54.700482 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:536:in `synchronize_or_call'
E, [2018-04-02T18:23:54.700609 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:498:in `block in action'
E, [2018-04-02T18:23:54.700791 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-04-02T18:23:54.700925 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:497:in `action'
E, [2018-04-02T18:23:54.701050 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `perform_action'
E, [2018-04-02T18:23:54.701176 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:379:in `create_action'
E, [2018-04-02T18:23:54.701361 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:368:in `block in transition_to'
E, [2018-04-02T18:23:54.701511 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `each'
E, [2018-04-02T18:23:54.701637 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `transition_to'
E, [2018-04-02T18:23:54.701763 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:124:in `create'
E, [2018-04-02T18:23:54.701888 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:197:in `public_send'
E, [2018-04-02T18:23:54.702067 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:197:in `run_action_in_thread'
E, [2018-04-02T18:23:54.702304 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:169:in `block (2 levels) in run_action'
E, [2018-04-02T18:23:54.702444 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/logging-2.2.2/lib/logging/diagnostic_context.rb:474:in `block in create_with_logging_context'
E, [2018-04-02T18:23:54.702569 #7696] ERROR -- default-windows-12: ----End Backtrace-----
